,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46
BACH1,1.2175182,-0.19985783,-1.0609174,0.11870382,-0.40348625,-0.15705022,0.3454583,-0.1876189,1.0110987,0.88149655,-2.7449183,0.9431899,-1.9380319,-0.7665238,-0.38557115,-0.28502995,1.4616319,0.057398997,-0.5803555,-0.016700389,-1.0928947,-0.627965,-0.086144425,-0.52801496
BACH2,-0.23091093,0.2517996,0.4893409,2.2874117,0.52707577,-2.0791798,-0.021806553,-2.6436415,0.37944686,0.48485202,-1.7476889,0.74927384,-0.559502,2.3065968,0.08528093,2.4843624,0.68775994,0.8993827,-2.4690135,-1.9022075,-1.4047629,-1.0980533,-0.8540198,-0.5270001
BARX1,3.525722,-0.61628747,-1.0330359,-0.58584785,-1.8391645,-1.1087145,-0.2692529,0.5960856,-0.18674175,-0.557786,0.98750615,-0.9234704,-0.8403056,-0.7590373,-1.243602,0.48301753,0.3169439,0.504258,-0.04247104,-0.212535,0.9348503,1.3918327,1.5248616,1.1184636
BARX2,-0.96553516,0.26491308,-0.9674775,-0.77998453,-1.1713434,-0.77626914,0.07636647,0.44993067,0.16082858,0.26066455,0.1825329,-0.4795477,-0.5737117,-0.935784,-0.50471425,-1.3216152,0.80352557,1.4242549,-0.104817174,0.48412228,0.5446266,0.8052657,1.0724167,1.6187272
BATF,0.96765697,-0.22183381,-1.61614,-0.0026264957,-1.1809167,-0.83942634,-0.8187885,-0.71191305,0.5809254,-0.21438825,-1.6890748,-1.0592829,-0.8529913,-1.4943863,-0.5654038,0.1330867,1.2253697,0.36629686,1.3675143,-0.29595408,1.8933564,0.32960126,1.1612061,2.1840975
BATF2,-0.07625542,-0.94233596,-1.5152395,-0.9372941,-0.67331624,-0.5077946,-0.2212224,0.20823142,1.1272277,1.1785842,1.2069045,0.87332606,0.46577308,-0.18688037,-0.6350815,-0.67218024,0.030368965,-0.10560469,0.24596159,0.19129851,-0.14941142,-0.3716916,-0.34780088,-0.31580076
BBX,0.2294413,1.6440753,-2.0457814,-1.3388711,-1.1104134,-1.1368273,-1.1330464,-0.3439239,0.4184165,0.64836913,-0.53606975,0.77338374,1.0575739,-0.13362017,-1.1193094,-1.0187099,0.9319022,0.3701853,-0.12115248,-0.11954444,0.5296897,-0.47833708,0.59432554,1.3991667
BCL11A,0.21134157,0.3402537,-1.009,1.1330825,-0.97141457,-1.8607618,-0.6996931,-2.1822052,2.0454302,2.04647,-1.605062,0.030121515,-1.5971476,0.6003521,-0.46041238,-0.19045271,1.714756,-0.028413378,-1.7791414,-1.414095,-1.8391818,-1.5999737,-0.5037817,0.19501393
BCL11B,-1.8233417,0.014297371,-0.91708815,-1.1039672,-0.40273914,0.1526668,0.07516863,0.12513052,1.9322313,1.2075874,-0.24098887,-0.9187344,-0.3815426,0.05420949,0.370972,-0.16807564,-0.42116654,-0.09926268,-0.45926312,-0.59284556,-0.048689906,-0.24766457,-0.16416483,0.08096688
BCL3,0.34441516,-0.42736515,-0.8211795,-0.3470002,0.10558371,-0.77989966,-0.6165391,-0.08796839,0.08950969,0.1302317,-0.871334,-0.14801538,-0.9004017,-0.020032175,0.29775494,-0.046087652,0.58330643,-0.4834637,0.51318794,0.9768254,0.9240875,0.31516925,0.2788826,0.6847538
BCL6,-1.8031695,1.4344441,2.0593922,2.268655,0.22188158,0.3429017,-0.04642021,-0.18903942,-1.0544312,-0.53476727,-1.0563565,-0.9435984,-0.36218214,0.29646763,0.00559984,-0.6140895,1.9484046,1.063185,-0.54890484,-0.2593023,0.95161545,0.34724352,-0.43286937,-1.9824309
BCLAF1,0.5615926,0.96582687,-0.6996847,1.5696398,0.23776558,-0.72533864,0.52119815,-1.1767356,1.813567,1.8342829,-0.7646994,-0.69548005,-0.5253582,-0.64786,-0.8745808,-0.5662943,0.2491818,-0.6755687,-1.9651223,-2.4657784,-1.284248,-2.0130248,-1.2643639,-0.2674029
BCOR,0.6855938,0.22100483,-0.20398098,0.022511724,0.6633713,-0.1493627,0.008059061,-0.07569006,-0.17226498,-0.2674345,-0.40532678,-0.6175456,0.35801098,0.377844,0.09877972,-0.23901398,0.4653484,-0.41140378,0.24669203,-0.31271058,-0.1747589,-0.0074697165,-0.07776163,0.2799416
BHLHA15,-0.09723688,0.46166554,-0.20865709,0.65608764,0.49755532,0.119720384,-0.83362895,-1.0953585,-0.36890474,-0.5089896,-2.1211047,-1.9013165,-1.7167479,-1.2199814,-1.4243094,-0.7114994,0.8373496,1.4784291,1.3105327,1.2449203,1.2619216,1.581722,1.8310387,1.4161592
BHLHE23,-1.0233939,0.13759422,0.9034297,-0.69206214,0.030186689,0.8841459,0.52172273,1.194755,-0.9295611,-1.2132987,3.162082,2.75871,1.4028202,1.2439687,1.0774844,0.18931389,-1.0099939,-0.2680077,-0.17961003,-0.35997427,-0.9146772,-0.50979316,-0.52172804,-0.8728899
BHLHE40,1.0601336,0.9620655,-0.12610136,-0.18674572,0.55576706,-0.49387357,0.08385175,-0.73795515,1.1082518,0.7621952,-0.76340586,1.1097156,0.71808034,0.15760823,1.2500609,1.2181871,-0.7264996,-0.93141776,-1.2602528,-0.86286366,-0.8910823,-1.353093,-1.7806501,-2.3030145
BHLHE41,-0.41805288,0.5975609,1.3140651,0.2012771,-0.6877996,-0.13147745,-0.29137853,-0.28306696,1.7077014,1.390027,-0.21868677,0.9899069,0.9088283,1.0917158,0.6433293,-0.522008,-0.45577955,-2.5984194,-1.4203509,-1.7992555,-1.5298426,-1.3206639,-2.1530433,-1.1758727
BMAL1,4.537485,-0.10845581,-1.6106485,-0.54314804,-0.42217332,-0.44288883,0.33635277,-0.7336424,1.8125335,1.3566048,-1.8172907,-1.0163082,-2.0205092,-2.9944825,-1.3156769,-0.411514,-0.06169001,0.24958877,-0.5616149,-0.5551028,0.031499248,-0.4901897,0.023508502,-0.24593201
BMAL2,4.624995,0.8427995,-0.7040173,-0.26752442,-0.038944237,0.12625943,0.30827764,-0.1832822,0.26808316,0.361103,-0.78713465,-0.8217805,-0.22486508,-1.2850412,-1.2277509,-1.0464585,-0.23518834,-1.0015464,-0.5992322,-0.69208205,-0.7494334,-0.5732276,0.44792134,0.18442446
BPTF,0.10466788,0.7784617,0.98379165,1.478724,1.7625173,2.2437892,1.186011,1.0883535,-0.7987798,-1.0842533,-0.43352127,0.4775545,-0.8455228,-0.08803345,0.9322253,1.1884383,-0.74260867,-0.11235863,-0.78387004,-1.1826836,-1.1461543,-1.2237755,-1.5548075,-1.1325923
BRCA1,1.4889414,-1.1645836,-3.5700057,-2.4480498,-1.0954807,-1.7898437,-1.0289125,-0.59489495,0.13195789,0.5133068,0.35729122,-0.20318627,-1.6234806,-1.0960678,0.116433434,0.13757025,0.33416688,1.1103417,1.5055964,1.2590897,1.0272033,1.0900155,3.0171263,2.8962955
BRD4,1.2699549,0.7032138,0.1441084,1.7805606,1.4200218,0.6781048,0.989709,0.664179,-0.95748514,-0.8938363,-0.7831064,0.44314736,-1.2861764,-0.41814342,0.23670511,0.49104175,0.6093312,-1.0200858,-0.50214833,-1.5579857,-2.0509508,-1.1679646,-0.24424289,0.6290235
BRD7,3.1052983,-1.5456054,-0.8473476,-0.0014504035,-1.3410777,-1.3605133,-1.7193277,-1.128775,0.29408965,0.63073564,-0.9925197,-0.79240906,-0.69106716,-0.91712683,-0.52053344,-0.61953235,1.0685699,0.30596328,0.91878897,0.14084895,1.0901986,1.3061554,0.8703981,0.89656156
BSX,0.36494866,0.3338947,0.036117427,-1.0479968,-0.2123019,0.087321,0.16277772,0.6464198,0.7492616,1.4869673,-0.29463983,0.41822076,-0.27819964,-1.5946586,-0.083708934,-0.06343666,-1.1413589,-1.2305075,-0.2533087,-0.30620646,-0.4018093,-0.46112594,-0.2078303,-0.72841895
BTAF1,-1.6629856,0.7088747,0.7763103,-0.61555713,-0.17125341,-0.726968,-0.20526096,0.14837053,-1.6204073,-0.3543298,-0.2707676,-1.398989,1.6314199,1.0411799,0.5649732,0.71015626,-0.8502256,0.9648717,1.0664487,0.3984162,1.1600512,0.09694874,1.887978,1.2029349
BTG2,0.9882657,0.55385435,-0.9623861,-0.8005233,-0.7842368,-0.012841995,0.42020616,0.9520126,0.63843614,0.118256316,0.3869457,0.32445195,0.058306932,0.63274056,-0.59489256,-0.46426508,-0.31736824,0.31830978,-0.39879376,-0.05028224,-0.35018522,-0.4451685,-0.7044998,-0.14208826
CAMTA1,-0.9030902,0.094928786,-0.09460057,1.6707143,0.42865852,1.5954173,1.6741834,1.5877086,0.45343804,-0.15688635,0.056067996,0.3605569,-0.7631972,-0.13441603,-0.36175248,0.2910801,0.39053655,0.4625172,-0.9976638,-1.0143908,-1.3988367,-1.620951,-1.8890033,-1.3216918
CARF,1.3350568,1.0749545,0.5331739,0.5991948,-0.17041361,0.025312264,-0.53852695,-0.8362698,1.4414815,1.4037968,-0.84667844,-0.02089879,-0.5215057,-0.46636632,-0.012018334,-0.4554803,0.41036665,-1.3608469,-1.4665991,-1.6923711,-1.6126902,-1.22876,-1.6444477,-1.211663
CASZ1,1.286384,0.06749291,-0.6884308,1.4912264,1.376417,0.082896866,0.9562888,0.4018971,-0.64043796,-0.9180974,-1.2349188,0.25918213,-1.6462502,0.5948016,0.35909766,2.0447927,0.06610805,1.5145491,-0.0036615105,-0.76675934,-1.0483161,-0.88651633,-0.6985877,-0.7527465
CBFA2T3,0.40550482,-2.326892,0.090280525,0.578425,0.42596948,0.5626821,1.5197333,-0.55076605,1.3082067,0.5236931,0.40286693,0.24940139,-0.22310436,-0.39387318,-1.2698768,-0.4750827,-0.03859196,-0.57669616,-0.2945157,-0.62050533,-0.5510208,-0.55162525,-1.0117791,-0.0077780364
CBFB,-0.77893853,-0.36468574,0.140986,0.37535435,0.49848953,0.75010026,0.49344072,0.5420775,-0.3155055,-0.3856955,-1.1653537,-1.2762523,-1.1256219,-0.5324664,-0.2591718,0.12210017,0.6979782,0.43014795,0.52166975,0.09950665,0.061402634,0.042689588,0.45449358,1.2125322
CDC5L,0.59733146,0.93999636,0.10474243,-2.266846,0.6825209,0.46087664,1.9219854,-0.74674505,0.7728932,0.5869528,0.14346352,0.61423206,0.18704578,-1.3869582,-0.046396963,-1.0343677,-1.8191082,-0.15553015,0.014858305,-1.5314659,-0.12910706,-0.92722917,-0.446082,1.0356789
CDX1,0.24393135,0.028008789,0.5990337,1.7381727,0.61214125,0.11453672,-1.0235149,-1.5439984,-0.14332686,-0.57431227,-2.1054585,-1.7625694,-0.98296463,-0.843881,-0.5844732,-0.30171844,1.6515248,0.30438116,-0.38386834,-0.6955728,0.37502435,1.7975928,0.7244913,1.3041757
CDX2,-1.441483,2.023109,3.0381708,3.3314905,2.290588,0.9297007,-0.12922508,-0.89449817,-1.0144296,-0.43559775,-1.8407955,-1.3620462,-0.25298598,1.8415564,-0.34698984,-1.2401289,-0.3914901,-0.8260095,-1.6775826,-1.5952513,-0.8603975,-0.32242802,-0.24562098,-0.052423757
CEBPA,-2.2356586,-1.1421615,-3.1941752,-1.0116487,-1.0678273,-1.4166678,-1.9482034,-0.4979146,0.22909743,0.1441857,-0.44370073,0.424188,-1.159831,-0.5665853,-0.9927614,0.16511175,2.1127574,1.9586041,0.60634154,1.4375682,1.937994,2.1155756,2.290645,2.934783
CEBPB,1.4621449,-0.6740435,-3.4265494,-2.113675,-1.8624847,-0.58210576,-1.6368024,-0.7843413,-1.515363,-1.6831217,-2.607868,-1.0997887,-1.9173528,-0.15208621,-0.6543632,-0.62099975,0.63128704,3.52892,2.4596262,2.5696294,4.5701027,4.022127,4.847021,4.5361547
CEBPD,-0.029825952,-0.6058209,-1.3657998,-0.5944267,0.09125227,0.7329485,0.081782,0.8590903,0.37348858,0.5236037,-0.84090054,0.1669042,-0.2843572,-0.864866,-0.5164913,-1.0982076,-0.22139503,-0.7713291,-0.9424204,0.09828562,-0.54312694,0.15076698,1.1041802,2.1025798
CEBPE,1.7176816,-0.032869022,-2.417285,-1.2122114,-1.3798535,-0.32475537,-0.086400196,-0.014091929,0.48457223,1.035081,1.3617886,1.2237443,1.4586701,0.54475313,-0.01352027,-0.42361602,-0.45719224,-0.1493793,-1.2810005,0.24920258,-1.1826192,-0.846923,-1.03247,0.89683956
CEBPG,1.4184422,-1.7061156,-3.0505617,-0.9801386,-0.8011005,0.365022,-0.9449765,0.16433674,-0.2769285,-1.134057,-2.06658,0.43689978,-2.247644,-1.8572508,-0.20367986,-0.112242736,0.9298574,0.90514034,0.7447485,0.80440193,1.9957314,2.6841726,2.5747921,4.110539
CEBPZ,-0.98763216,0.258478,-0.5678107,0.002760798,-0.38097745,-0.5541542,-0.36368346,-0.7856638,-0.0009317627,-0.051957693,-1.0094012,-1.4131438,-1.4875873,-1.0240431,-1.07013,-0.49595112,1.1247132,1.2651349,1.2012311,1.7711957,1.2933224,2.2236257,1.3578876,0.3668881
CGGBP1,-1.6972325,-0.24716145,-0.3427289,0.27360457,1.0282528,1.6443082,1.7663774,1.9120661,-0.9036063,-0.9647628,0.88360935,-0.7018118,0.11082112,-0.6381633,-0.34845284,0.07534585,0.36337623,0.96276355,0.6250166,0.3473144,-0.1332261,-0.0768176,-0.18686795,0.05204597
CHD4,-0.78391963,-0.015837044,-0.52311796,1.6247207,-1.1023751,-1.7717938,-1.5676143,-2.435584,0.9723718,1.133916,-0.62076116,0.28536436,-0.5876229,1.7862431,-0.08204854,-0.16130486,1.6707901,1.1403542,-1.8527185,-0.8027874,-1.2158005,-1.2462714,-0.42077765,1.1999215
CIC,0.37450802,-0.5957252,-0.95842284,-1.7299992,-1.249422,-0.60278684,0.11448632,0.5251215,0.8259048,1.1777121,0.6654439,0.82786036,-1.2522786,-1.1265633,-0.65800637,-0.8230929,-0.33693546,-0.37812138,-0.58724177,-0.14476791,-0.33203453,-0.18593533,0.94454277,1.8679081
CIITA,-0.49995115,-0.7405674,-1.0084953,0.78177506,-0.22519496,0.07354654,-0.6688792,1.1625366,0.15555502,-0.41123214,-0.28323895,-0.5498138,-0.69124603,1.781147,0.57718074,1.22226,1.2016532,0.5193873,0.30575445,-0.52202237,0.5968215,0.23448025,-0.8936651,-0.80933297
CLOCK,3.2118433,-0.7953582,-1.7741146,-0.15789782,-0.54107624,-0.193991,-0.01358264,-0.073117524,1.6631398,1.4251639,-0.90353286,-0.60237926,-1.9239024,-2.325537,-0.4542404,-0.7857735,0.5924063,0.14265776,-0.5513271,-0.083294325,-0.40113527,-0.44436628,-0.4005781,-0.7228461
CNOT7,-3.376768,0.5904877,0.86706346,1.0416093,0.100061275,0.23505601,0.013893404,-0.42569533,0.9425588,1.4725393,0.20659564,-0.27216378,-0.54305404,0.7432343,0.181447,0.1801386,-0.35009807,0.20673044,-1.2317715,-2.0477602,-1.071336,-1.0788723,-0.81543714,-0.425984
